dm,idx,st,search,user,displayName
Alerts,,,"(`cim_Alerts_indexes`) tag=alert",admin,Alerts
"Application_State",,,"(`cim_Application_State_indexes`) (tag=listening tag=port) OR (tag=process tag=report) OR (tag=service tag=report)",admin,"Application State"
Authentication,,,"(`cim_Authentication_indexes`) tag=authentication NOT (action=success user=*$)",admin,Authentication
Certificates,,,"(`cim_Certificates_indexes`) tag=certificate",admin,Certificates
"Change_Analysis",,,"(`cim_Change_Analysis_indexes`) tag=change",admin,"Change Analysis"
"Compute_Inventory",,,"(`cim_Compute_Inventory_indexes`) tag=inventory (tag=cpu OR tag=memory OR tag=network OR tag=storage OR (tag=system tag=version) OR tag=user OR tag=virtual)",admin,Inventory
Databases,,,"(`cim_Databases_indexes`) tag=database",admin,Databases
DLP,,,"(`cim_DLP_indexes`) tag=dlp tag=incident",admin,"Data Loss Prevention"
Email,,,"(`cim_Email_indexes`) tag=email",admin,Email
"internal_audit_logs","_audit",,"index=_audit",admin,"Splunk's Internal Audit Logs - SAMPLE"
"internal_server","_internal",,"index=_internal source=*scheduler.log* OR source=*metrics.log* OR source=*splunkd.log* OR source=*license_usage.log* OR source=*splunkd_access.log*",admin,"Splunk's Internal Server Logs - SAMPLE"
"Interprocess_Messaging",,,"(`cim_Interprocess_Messaging_indexes`) tag=messaging",admin,"Interprocess Messaging"
"Intrusion_Detection",,,"(`cim_Intrusion_Detection_indexes`) tag=ids tag=attack",admin,"Intrusion Detection"
JVM,,,"(`cim_JVM_indexes`) tag=jvm",admin,JVM
Malware,,,"(`cim_Malware_indexes`) tag=malware tag=attack",admin,Malware
"Network_Resolution",,,"(`cim_Network_Resolution_indexes`) tag=network tag=resolution tag=dns",admin,"Network Resolution (DNS)"
"Network_Sessions",,,"(`cim_Network_Sessions_indexes`) tag=network tag=session",admin,"Network Sessions"
"Network_Traffic",,,"(`cim_Network_Traffic_indexes`) tag=network tag=communicate",admin,"Network Traffic"
Performance,,,"(`cim_Performance_indexes`) tag=performance (tag=cpu OR tag=facilities OR tag=memory OR tag=storage OR tag=network OR (tag=os ((tag=time tag=synchronize) OR tag=uptime)))",admin,Performance
"Splunk_Audit",,,,admin,"Splunk Audit Logs"
"Splunk_CIM_Validation",,,,admin,"CIM Validation (S.o.S.)"
"Ticket_Management",,,"(`cim_Ticket_Management_indexes`) tag=ticketing",admin,"Ticket Management"
Updates,,,"(`cim_Updates_indexes`) tag=update tag=status",admin,Updates
Vulnerabilities,,,"(`cim_Vulnerabilities_indexes`) tag=vulnerability tag=report",admin,Vulnerabilities
Web,,,"(`cim_Web_indexes`) tag=web",admin,Web
