user,role,idx,"_mkv_child",sourcetype,status
admin,admin,main,0,,NoIndex
admin,admin,,1,"Snare:Security",NoSourcetype
admin,admin,main,2,"Snare:Security",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"Unix:UserAccounts",NoSourcetype
admin,admin,main,2,"Unix:UserAccounts",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"WinEventLog:Security:Lasso",NoSourcetype
admin,admin,main,2,"WinEventLog:Security:Lasso",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"access_combined",NoSourcetype
admin,admin,main,2,"access_combined",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"config_file",NoSourcetype
admin,admin,main,2,"config_file",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,csv,NoSourcetype
admin,admin,main,2,csv,BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,dhcpd,NoSourcetype
admin,admin,main,2,dhcpd,BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"linux_secure",NoSourcetype
admin,admin,main,2,"linux_secure",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"pan:system",NoSourcetype
admin,admin,main,2,"pan:system",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"pan:threat",NoSourcetype
admin,admin,main,2,"pan:threat",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"pan:traffic",NoSourcetype
admin,admin,main,2,"pan:traffic",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"pan:wildfire_report",NoSourcetype
admin,admin,main,2,"pan:wildfire_report",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"qualys:hostDetection",NoSourcetype
admin,admin,main,2,"qualys:hostDetection",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"qualys:wasFindings",NoSourcetype
admin,admin,main,2,"qualys:wasFindings",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"rlogin_too_many_failures",NoSourcetype
admin,admin,main,2,"rlogin_too_many_failures",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"stream:dns",NoSourcetype
admin,admin,main,2,"stream:dns",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"stream:http",NoSourcetype
admin,admin,main,2,"stream:http",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"stream:ip",NoSourcetype
admin,admin,main,2,"stream:ip",BadSearch
admin,admin,main,0,,NoIndex
admin,admin,,1,"stream:tcp",NoSourcetype
