user,role,idx,"_mkv_child",st,status
admin,admin,main,0,"Snare:Security",NoIndex
admin,admin,main,1,"Unix:UserAccounts",NoIndex
admin,admin,main,2,"WinEventLog:Security:Lasso",NoIndex
admin,admin,main,3,"access_combined",NoIndex
admin,admin,main,4,"config_file",NoIndex
admin,admin,main,5,csv,NoIndex
admin,admin,main,6,dhcpd,NoIndex
admin,admin,main,7,"linux_secure",NoIndex
admin,admin,main,8,"pan:system",NoIndex
admin,admin,main,9,"pan:threat",NoIndex
admin,admin,main,10,"pan:traffic",NoIndex
admin,admin,main,11,"pan:wildfire_report",NoIndex
admin,admin,main,12,"qualys:hostDetection",NoIndex
admin,admin,main,13,"qualys:wasFindings",NoIndex
admin,admin,main,14,"rlogin_too_many_failures",NoIndex
admin,admin,main,15,"stream:dns",NoIndex
admin,admin,main,16,"stream:http",NoIndex
admin,admin,main,17,"stream:ip",NoIndex
admin,admin,main,18,"stream:tcp",NoIndex
admin,admin,main,19,"stream:udp",NoIndex
admin,admin,os,0,cpu,NoIndex
admin,admin,os,1,df,NoIndex
admin,admin,os,2,iostat,NoIndex
admin,admin,os,3,protocol,NoIndex
admin,admin,os,4,ps,NoIndex
admin,admin,os,5,top,NoIndex
admin,admin,os,6,vmstat,NoIndex
fred,power,main,0,"Snare:Security",NoIndex
fred,power,main,1,"Unix:UserAccounts",NoIndex
fred,power,main,2,"WinEventLog:Security:Lasso",NoIndex
fred,power,main,3,"access_combined",NoIndex
fred,power,main,4,"config_file",NoIndex
fred,power,main,5,csv,NoIndex
fred,power,main,6,dhcpd,NoIndex
fred,power,main,7,"linux_secure",NoIndex
fred,power,main,8,"pan:system",NoIndex
fred,power,main,9,"pan:threat",NoIndex
fred,power,main,10,"pan:traffic",NoIndex
fred,power,main,11,"pan:wildfire_report",NoIndex
fred,power,main,12,"qualys:hostDetection",NoIndex
fred,power,main,13,"qualys:wasFindings",NoIndex
fred,power,main,14,"rlogin_too_many_failures",NoIndex
fred,power,main,15,"stream:dns",NoIndex
fred,power,main,16,"stream:http",NoIndex
fred,power,main,17,"stream:ip",NoIndex
fred,power,main,18,"stream:tcp",NoIndex
fred,power,main,19,"stream:udp",NoIndex
fred,user,main,0,"Snare:Security",NoIndex
fred,user,main,1,"Unix:UserAccounts",NoIndex
fred,user,main,2,"WinEventLog:Security:Lasso",NoIndex
fred,user,main,3,"access_combined",NoIndex
fred,user,main,4,"config_file",NoIndex
fred,user,main,5,csv,NoIndex
fred,user,main,6,dhcpd,NoIndex
fred,user,main,7,"linux_secure",NoIndex
fred,user,main,8,"pan:system",NoIndex
fred,user,main,9,"pan:threat",NoIndex
fred,user,main,10,"pan:traffic",NoIndex
fred,user,main,11,"pan:wildfire_report",NoIndex
fred,user,main,12,"qualys:hostDetection",NoIndex
fred,user,main,13,"qualys:wasFindings",NoIndex
fred,user,main,14,"rlogin_too_many_failures",NoIndex
fred,user,main,15,"stream:dns",NoIndex
fred,user,main,16,"stream:http",NoIndex
fred,user,main,17,"stream:ip",NoIndex
fred,user,main,18,"stream:tcp",NoIndex
fred,user,main,19,"stream:udp",NoIndex
