user,role,idx,"_mkv_child",st,status
admin,admin,main,0,"Snare:Security",NoSourcetype
admin,admin,main,1,"Unix:UserAccounts",NoSourcetype
admin,admin,main,2,"WinEventLog:Security:Lasso",NoSourcetype
admin,admin,main,3,"access_combined",NoSourcetype
admin,admin,main,4,"config_file",NoSourcetype
admin,admin,main,5,csv,NoSourcetype
admin,admin,main,6,dhcpd,NoSourcetype
admin,admin,main,7,"linux_secure",NoSourcetype
admin,admin,main,8,"pan:system",NoSourcetype
admin,admin,main,9,"pan:threat",NoSourcetype
admin,admin,main,10,"pan:traffic",NoSourcetype
admin,admin,main,11,"pan:wildfire_report",NoSourcetype
admin,admin,main,12,"qualys:hostDetection",NoSourcetype
admin,admin,main,13,"qualys:wasFindings",NoSourcetype
admin,admin,main,14,"rlogin_too_many_failures",NoSourcetype
admin,admin,main,15,"stream:dns",NoSourcetype
admin,admin,main,16,"stream:http",NoSourcetype
admin,admin,main,17,"stream:ip",NoSourcetype
admin,admin,main,18,"stream:tcp",NoSourcetype
admin,admin,main,19,"stream:udp",NoSourcetype
admin,admin,os,0,cpu,NoSourcetype
admin,admin,os,1,df,NoSourcetype
admin,admin,os,2,iostat,NoSourcetype
admin,admin,os,3,protocol,NoSourcetype
admin,admin,os,4,ps,NoSourcetype
admin,admin,os,5,top,NoSourcetype
admin,admin,os,6,vmstat,NoSourcetype
fred,power,main,0,"Snare:Security",NoSourcetype
fred,power,main,1,"Unix:UserAccounts",NoSourcetype
fred,power,main,2,"WinEventLog:Security:Lasso",NoSourcetype
fred,power,main,3,"access_combined",NoSourcetype
fred,power,main,4,"config_file",NoSourcetype
fred,power,main,5,csv,NoSourcetype
fred,power,main,6,dhcpd,NoSourcetype
fred,power,main,7,"linux_secure",NoSourcetype
fred,power,main,8,"pan:system",NoSourcetype
fred,power,main,9,"pan:threat",NoSourcetype
fred,power,main,10,"pan:traffic",NoSourcetype
fred,power,main,11,"pan:wildfire_report",NoSourcetype
fred,power,main,12,"qualys:hostDetection",NoSourcetype
fred,power,main,13,"qualys:wasFindings",NoSourcetype
fred,power,main,14,"rlogin_too_many_failures",NoSourcetype
fred,power,main,15,"stream:dns",NoSourcetype
fred,power,main,16,"stream:http",NoSourcetype
fred,power,main,17,"stream:ip",NoSourcetype
fred,power,main,18,"stream:tcp",NoSourcetype
fred,power,main,19,"stream:udp",NoSourcetype
fred,user,main,0,"Snare:Security",NoSourcetype
fred,user,main,1,"Unix:UserAccounts",NoSourcetype
fred,user,main,2,"WinEventLog:Security:Lasso",NoSourcetype
fred,user,main,3,"access_combined",NoSourcetype
fred,user,main,4,"config_file",NoSourcetype
fred,user,main,5,csv,NoSourcetype
fred,user,main,6,dhcpd,NoSourcetype
fred,user,main,7,"linux_secure",NoSourcetype
fred,user,main,8,"pan:system",NoSourcetype
fred,user,main,9,"pan:threat",NoSourcetype
fred,user,main,10,"pan:traffic",NoSourcetype
fred,user,main,11,"pan:wildfire_report",NoSourcetype
fred,user,main,12,"qualys:hostDetection",NoSourcetype
fred,user,main,13,"qualys:wasFindings",NoSourcetype
fred,user,main,14,"rlogin_too_many_failures",NoSourcetype
fred,user,main,15,"stream:dns",NoSourcetype
fred,user,main,16,"stream:http",NoSourcetype
fred,user,main,17,"stream:ip",NoSourcetype
fred,user,main,18,"stream:tcp",NoSourcetype
fred,user,main,19,"stream:udp",NoSourcetype
